Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
TOYOTA Highlander Hybrid	2.5	4	SCV-6	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT02.5P34	standard SUV	7	35	35	35	8	Yes
TOYOTA Highlander Hybrid	2.5	4	SCV-6	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT02.5P34	standard SUV	7	35	35	35	8	Yes
TOYOTA Highlander Hybrid LTD/PLAT	2.5	4	SCV-6	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT02.5P34	standard SUV	7	35	34	35	8	Yes
TOYOTA Highlander Hybrid LTD/PLAT	2.5	4	SCV-6	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT02.5P34	standard SUV	7	35	34	35	8	Yes
TOYOTA Mirai	N/A	N/A	CVT	2WD	Hydrogen	FA	T3B0	Federal Tier 3 Bin 0	LTYXV00.0DA7	small car	10	67	67	67	10	Elite
TOYOTA Mirai	N/A	N/A	CVT	2WD	Hydrogen	CA	ZEV	California ZEV	LTYXV00.0DA7	small car	10	67	67	67	10	Elite
TOYOTA Prius	1.8	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV01.8P34	midsize car	7	54	50	52	10	Elite
TOYOTA Prius	1.8	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV01.8P34	midsize car	7	54	50	52	10	Elite
TOYOTA Prius	1.8	4	CVT	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV01.8P33	midsize car	7	52	48	50	10	Elite
TOYOTA Prius	1.8	4	CVT	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV01.8P33	midsize car	7	52	48	50	10	Elite
TOYOTA Prius Eco	1.8	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV01.8P34	midsize car	7	58	53	56	10	Elite
TOYOTA Prius Eco	1.8	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV01.8P34	midsize car	7	58	53	56	10	Elite
