Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
HONDA Accord	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV02.0BEB	large car	7	48	47	48	10	Elite
HONDA Accord	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV02.0BEB	large car	7	48	47	48	10	Elite
HONDA CR-V	1.5	4	CVT	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LHNXT01.5YLC	small SUV	6	28	34	30	7	Yes
HONDA CR-V	1.5	4	CVT	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LHNXT01.5YLC	small SUV	6	28	34	30	7	Yes
HONDA CR-V	2	4	CVT	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXT02.0WMC	small SUV	7	40	35	38	8	Yes
HONDA CR-V	2	4	CVT	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXT02.0WMC	small SUV	7	40	35	38	8	Yes
HONDA Civic 2Dr	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	small car	7	31	40	35	8	Yes
HONDA Civic 2Dr	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	small car	7	31	40	35	8	Yes
HONDA Civic 2Dr	1.5	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	small car	7	30	37	33	7	Yes
HONDA Civic 2Dr	1.5	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	small car	7	30	37	33	7	Yes
HONDA Civic 2Dr	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV02.0CL3	small car	7	30	38	33	7	Yes
HONDA Civic 2Dr	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV02.0CL3	small car	7	30	38	33	7	Yes
HONDA Civic 2Dr	2	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV02.0CL3	small car	7	29	36	32	7	Yes
HONDA Civic 2Dr	2	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV02.0CL3	small car	7	29	36	32	7	Yes
HONDA Civic 4Dr	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	midsize car	7	32	42	36	8	Yes
HONDA Civic 4Dr	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	midsize car	7	32	42	36	8	Yes
HONDA Civic 4Dr	1.5	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	midsize car	7	30	38	33	7	Yes
HONDA Civic 4Dr	1.5	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	midsize car	7	30	38	33	7	Yes
HONDA Civic 4Dr	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV02.0CL3	midsize car	7	30	38	33	7	Yes
HONDA Civic 4Dr	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV02.0CL3	midsize car	7	30	38	33	7	Yes
HONDA Civic 4Dr	2	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV02.0CL3	midsize car	7	29	37	32	7	Yes
HONDA Civic 4Dr	2	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV02.0CL3	midsize car	7	29	37	32	7	Yes
HONDA Civic 5Dr	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	large car	7	31	40	34	8	Yes
HONDA Civic 5Dr	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	large car	7	31	40	34	8	Yes
HONDA Civic 5Dr	1.5	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.52L2	large car	7	29	35	32	7	Yes
HONDA Civic 5Dr	1.5	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.52L2	large car	7	29	35	32	7	Yes
HONDA Clarity	1.5	4	CVT	2WD	Gasoline/Electricity	CA	L3SULEV20	California LEV-III SULEV20	LHNXV01.5DFB	midsize car	8	44/117	40/102	42/110	10	Elite
HONDA Clarity	1.5	4	CVT	2WD	Gasoline/Electricity	FA	T3B20	Federal Tier 3 Bin 20	LHNXV01.5DFB	midsize car	8	44/117	40/102	42/110	10	Elite
HONDA Clarity	N/A	N/A	Auto-1	2WD	Hydrogen	FA	T3B0	Federal Tier 3 Bin 0	LHNXV00.0AAH	midsize car	10	68	67	68	10	Elite
HONDA Clarity	N/A	N/A	Auto-1	2WD	Hydrogen	CA	ZEV	California ZEV	LHNXV00.0AAH	midsize car	10	68	67	68	10	Elite
HONDA Fit	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.5XEB	station wagon	7	33	40	36	8	Yes
HONDA Fit	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.5XEB	station wagon	7	33	40	36	8	Yes
HONDA Fit	1.5	4	SCV-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.5XEB	station wagon	7	31	36	33	7	Yes
HONDA Fit	1.5	4	SCV-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.5XEB	station wagon	7	31	36	33	7	Yes
HONDA HR-V	1.8	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHNXV01.8ECC	station wagon	5	28	34	30	7	Yes
HONDA HR-V	1.8	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHNXV01.8ECC	station wagon	5	28	34	30	7	Yes
HONDA HR-V	1.8	4	SCV-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHNXV01.8ECC	station wagon	5	28	34	30	7	Yes
HONDA HR-V	1.8	4	SCV-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHNXV01.8ECC	station wagon	5	28	34	30	7	Yes
HONDA Insight	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.5CEB	midsize car	7	55	49	52	10	Elite
HONDA Insight	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.5CEB	midsize car	7	55	49	52	10	Elite
HONDA Insight Touring	1.5	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHNXV01.5CEB	midsize car	7	51	45	48	10	Elite
HONDA Insight Touring	1.5	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHNXV01.5CEB	midsize car	7	51	45	48	10	Elite
HYUNDAI Elantra	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.0CE3	midsize car	7	30	40	34	8	Yes
HYUNDAI Elantra	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.0CE3	midsize car	7	30	40	34	8	Yes
HYUNDAI Elantra	2	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV02.0CE5	midsize car	5	30	40	34	8	Yes
HYUNDAI Elantra	2	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV02.0CE5	midsize car	5	30	40	34	8	Yes
HYUNDAI Elantra SE	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.0CE3	midsize car	7	31	41	35	8	Yes
HYUNDAI Elantra SE	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.0CE3	midsize car	7	31	41	35	8	Yes
HYUNDAI Elantra SE	2	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV02.0CE5	midsize car	5	31	41	35	8	Yes
HYUNDAI Elantra SE	2	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV02.0CE5	midsize car	5	31	41	35	8	Yes
HYUNDAI Ioniq	1.6	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L13	large car	7	55	54	55	10	Elite
HYUNDAI Ioniq	1.6	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L13	large car	7	55	54	55	10	Elite
HYUNDAI Ioniq Blue	1.6	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L13	large car	7	57	59	58	10	Elite
HYUNDAI Ioniq Blue	1.6	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L13	large car	7	57	59	58	10	Elite
HYUNDAI Ioniq Electric	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LHYXV00.0P31	midsize car	10	145	121	133	10	Elite
HYUNDAI Ioniq Electric	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LHYXV00.0P31	midsize car	10	145	121	133	10	Elite
HYUNDAI Ioniq Plug-in Hybrid	1.6	4	AutoMan-6	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LHYXV01.6P2T	midsize car	7	53/123	52/114	52/119	10	Elite
HYUNDAI Ioniq Plug-in Hybrid	1.6	4	AutoMan-6	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LHYXV01.6P2T	midsize car	7	53/123	52/114	52/119	10	Elite
HYUNDAI Kona	1.6	4	AutoMan-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV01.6KC5	small SUV	5	28	32	30	7	Yes
HYUNDAI Kona	1.6	4	AutoMan-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV01.6KC5	small SUV	5	28	32	30	7	Yes
HYUNDAI Kona	2	4	SemiAuto-6	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV02.0KE5	small SUV	5	27	33	30	7	Yes
HYUNDAI Kona	2	4	SemiAuto-6	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV02.0KE5	small SUV	5	27	33	30	7	Yes
HYUNDAI Kona Electric	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LHYXV00.0K31	small SUV	10	132	108	120	10	Elite
HYUNDAI Kona Electric	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LHYXV00.0K31	small SUV	10	132	108	120	10	Elite
HYUNDAI NEXO	N/A	N/A	Auto-1	2WD	Hydrogen	FA	T3B0	Federal Tier 3 Bin 0	LHYXV00.0R41	small SUV	10	59	54	57	10	Elite
HYUNDAI NEXO	N/A	N/A	Auto-1	2WD	Hydrogen	CA	ZEV	California ZEV	LHYXV00.0R41	small SUV	10	59	54	57	10	Elite
HYUNDAI NEXO Blue	N/A	N/A	Auto-1	2WD	Hydrogen	FA	T3B0	Federal Tier 3 Bin 0	LHYXV00.0R41	small SUV	10	65	58	61	10	Elite
HYUNDAI NEXO Blue	N/A	N/A	Auto-1	2WD	Hydrogen	CA	ZEV	California ZEV	LHYXV00.0R41	small SUV	10	65	58	61	10	Elite
HYUNDAI Sonata	1.6	4	SemiAuto-8	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV01.6EC5	large car	5	27	36	31	7	Yes
HYUNDAI Sonata	1.6	4	SemiAuto-8	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV01.6EC5	large car	5	27	36	31	7	Yes
HYUNDAI Sonata	2.5	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.5ER3	large car	7	27	37	31	7	Yes
HYUNDAI Sonata	2.5	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.5ER3	large car	7	28	38	32	7	Yes
HYUNDAI Sonata	2.5	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.5ER3	large car	7	27	37	31	7	Yes
HYUNDAI Sonata	2.5	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.5ER3	large car	7	28	38	32	7	Yes
HYUNDAI Sonata Hybrid	2	4	AMS-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.0E13	large car	7	45	51	47	10	Elite
HYUNDAI Sonata Hybrid	2	4	AMS-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.0E13	large car	7	45	51	47	10	Elite
HYUNDAI Sonata Hybrid Blue	2	4	AMS-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LHYXV02.0E13	large car	7	50	54	52	10	Elite
HYUNDAI Sonata Hybrid Blue	2	4	AMS-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LHYXV02.0E13	large car	7	50	54	52	10	Elite
HYUNDAI Veloster	1.6	4	AutoMan-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV01.6BC5	small car	5	28	34	30	7	Yes
HYUNDAI Veloster	1.6	4	AutoMan-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV01.6BC5	small car	5	28	34	30	7	Yes
HYUNDAI Veloster	2	4	SemiAuto-6	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV02.0BE5	small car	5	27	34	30	7	Yes
HYUNDAI Veloster	2	4	SemiAuto-6	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV02.0BE5	small car	5	27	34	30	7	Yes
HYUNDAI Venue	1.6	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV01.6SB5	midsize car	5	30	34	32	7	Yes
HYUNDAI Venue	1.6	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV01.6SB5	midsize car	5	30	34	32	7	Yes
HYUNDAI Venue	1.6	4	Man-6	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LHYXV01.6SB5	midsize car	5	27	35	30	7	Yes
HYUNDAI Venue	1.6	4	Man-6	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LHYXV01.6SB5	midsize car	5	27	35	30	7	Yes
JAGUAR I-PACE	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LJLXT00.0TZA	small SUV	10	80	72	76	10	Elite
JAGUAR I-PACE	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LJLXT00.0TZA	small SUV	10	80	72	76	10	Elite
KARMA Revero GT (21-inch wheels)	1.5	3	Auto-1	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LKALV01.5LEV	small car	7	27/71	25/69	26/70	10	Elite
KARMA Revero GT (21-inch wheels)	1.5	3	Auto-1	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LKALV01.5LEV	small car	7	27/71	25/69	26/70	10	Elite
KIA Forte	1.6	4	AutoMan-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LKMXV01.6CC5	midsize car	5	27	35	30	7	Yes
KIA Forte	1.6	4	AutoMan-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LKMXV01.6CC5	midsize car	5	27	35	30	7	Yes
KIA Forte	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV02.0CE3	midsize car	7	29	40	33	7	Yes
KIA Forte	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV02.0CE3	midsize car	7	29	40	33	7	Yes
KIA Forte	2	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LKMXV02.0CE5	midsize car	5	29	40	33	7	Yes
KIA Forte	2	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LKMXV02.0CE5	midsize car	5	29	40	33	7	Yes
KIA Forte	2	4	Man-6	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LKMXV02.0CE5	midsize car	5	27	37	31	7	Yes
KIA Forte	2	4	Man-6	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LKMXV02.0CE5	midsize car	5	27	37	31	7	Yes
KIA Forte FE	2	4	CVT	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LKMXV02.0CE5	midsize car	5	31	41	35	8	Yes
KIA Forte FE	2	4	CVT	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LKMXV02.0CE5	midsize car	5	31	41	35	8	Yes
KIA Niro	1.6	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L13	station wagon	7	51	46	49	10	Elite
KIA Niro	1.6	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L13	station wagon	7	51	46	49	10	Elite
KIA Niro Electric	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LKMXV00.0L31	station wagon	10	123	102	112	10	Elite
KIA Niro Electric	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LKMXV00.0L31	station wagon	10	123	102	112	10	Elite
KIA Niro FE	1.6	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L13	station wagon	7	52	49	50	10	Elite
KIA Niro FE	1.6	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L13	station wagon	7	52	49	50	10	Elite
KIA Niro Plug-in Hybrid	1.6	4	AutoMan-6	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L2T	station wagon	7	48/110	44/99	46/105	10	Elite
KIA Niro Plug-in Hybrid	1.6	4	AutoMan-6	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L2T	station wagon	7	48/110	44/99	46/105	10	Elite
KIA Niro Touring	1.6	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV01.6L13	station wagon	7	46	40	43	9	Yes
KIA Niro Touring	1.6	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV01.6L13	station wagon	7	46	40	43	9	Yes
KIA Optima	1.6	4	AutoMan-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LKMXV01.6DC5	large car	5	27	37	31	7	Yes
KIA Optima	1.6	4	AutoMan-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LKMXV01.6DC5	large car	5	27	37	31	7	Yes
KIA Optima Hybrid	2	4	AutoMan-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV02.0D13	midsize car	7	40	45	42	9	Yes
KIA Optima Hybrid	2	4	AutoMan-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV02.0D13	midsize car	7	40	45	42	9	Yes
KIA Optima plug-in hybrid	2	4	AutoMan-6	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LKMXV02.0D2T	midsize car	7	39/103	44/100	41/101	10	Elite
KIA Optima plug-in hybrid	2	4	AutoMan-6	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LKMXV02.0D2T	midsize car	7	39/103	44/100	41/101	10	Elite
KIA Soul	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV02.0BE3	station wagon	7	27	33	30	7	Yes
KIA Soul	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV02.0BE3	station wagon	7	27	33	30	7	Yes
KIA Soul Eco dynamics	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LKMXV02.0BE3	station wagon	7	29	35	31	7	Yes
KIA Soul Eco dynamics	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LKMXV02.0BE3	station wagon	7	29	35	31	7	Yes
KIA Soul Electric	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LKMXV00.0B31	station wagon	10	127	101	114	10	Elite
KIA Soul Electric	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LKMXV00.0B31	station wagon	10	127	101	114	10	Elite
LAND ROVER Range Rover PHEV	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LJLXT02.0PTW	standard SUV	7	18/42	21/42	19/42	8	Yes
LAND ROVER Range Rover PHEV	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LJLXT02.0PTW	standard SUV	7	18/42	21/42	19/42	8	Yes
LAND ROVER Range Rover Sport PHEV	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LJLXT02.0PTW	standard SUV	7	18/42	21/42	19/42	8	Yes
LAND ROVER Range Rover Sport PHEV	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LJLXT02.0PTW	standard SUV	7	18/42	21/42	19/42	8	Yes
LEXUS ES 300h	2.5	4	SCV-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV02.5P33	midsize car	7	43	44	44	9	Yes
LEXUS ES 300h	2.5	4	SCV-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV02.5P33	midsize car	7	43	44	44	9	Yes
LEXUS LC 500h	3.5	6	SCV-10	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXV03.5P35	small car	7	27	35	30	7	Yes
LEXUS LC 500h	3.5	6	SCV-10	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXV03.5P35	small car	7	27	35	30	7	Yes
LEXUS NX 300h	2.5	4	SCV-6	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT02.5P3M	small SUV	7	33	30	31	7	Yes
LEXUS NX 300h	2.5	4	SCV-6	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT02.5P3M	small SUV	7	33	30	31	7	Yes
LEXUS RX 450h	3.5	6	SCV-6	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTYXT03.5P34	standard SUV	7	31	28	30	7	Yes
LEXUS RX 450h	3.5	6	SCV-6	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTYXT03.5P34	standard SUV	7	31	28	30	7	Yes
LEXUS UX 200	2	4	SCV-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4A	midsize car	6	29	37	33	7	Yes
LEXUS UX 200	2	4	SCV-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4A	midsize car	6	29	37	33	7	Yes
LEXUS UX 250h	2	4	SCV-6	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4C	small car	6	43	41	42	9	Yes
LEXUS UX 250h	2	4	SCV-6	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4C	small car	6	43	41	42	9	Yes
LEXUS UX 250h	2	4	SCV-6	4WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	LTYXV02.0N4C	small car	6	41	38	39	9	Yes
LEXUS UX 250h	2	4	SCV-6	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	LTYXV02.0N4C	small car	6	41	38	39	9	Yes
LINCOLN Aviator PHEV	3	6	SemiAuto-10	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LFMXT03.03P1	standard SUV	7	22/54	25/58	23/56	9	Yes
LINCOLN Aviator PHEV	3	6	SemiAuto-10	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LFMXT03.03P1	standard SUV	7	22/54	25/58	23/56	9	Yes
LINCOLN MKZ Hybrid	2	4	CVT	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LFMXV02.0VZT	midsize car	7	42	39	41	9	Yes
LINCOLN MKZ Hybrid	2	4	CVT	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LFMXV02.0VZT	midsize car	7	42	39	41	9	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTKXV02.5CDA	midsize car	7	26	35	30	7	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTKXV02.5CDA	small car	7	26	35	30	7	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTKXV02.5CDA	small car	7	27	36	30	7	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTKXV02.5CDA	midsize car	7	26	35	30	7	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTKXV02.5CDA	small car	7	26	35	30	7	Yes
MAZDA 3	2.5	4	SemiAuto-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTKXV02.5CDA	small car	7	27	36	30	7	Yes
MAZDA CX-3	2	4	SemiAuto-6	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LTKXV02.5CDA	small car	7	29	34	31	7	Yes
MAZDA CX-3	2	4	SemiAuto-6	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LTKXV02.5CDA	small car	7	29	34	31	7	Yes
MERCEDES-BENZ GLC 350e 4Matic	2	4	Auto-9	4WD	Gasoline/Electricity	CA	L3ULEV70	California LEV-III ULEV70	LMBXT02.0HY1	small SUV	5	23/67	28/70	25/68	10	Yes
MERCEDES-BENZ GLC 350e 4Matic	2	4	Auto-9	4WD	Gasoline/Electricity	FA	T3B70	Federal Tier 3 Bin 70	LMBXT02.0HY1	small SUV	5	23/67	28/70	25/68	10	Yes
MINI Cooper Convertible	1.5	3	AMS-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LBMXV01.5B36	small car	7	28	36	31	7	Yes
MINI Cooper Convertible	1.5	3	AMS-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LBMXV01.5B36	small car	7	28	36	31	7	Yes
MINI Cooper Hardtop	1.5	3	AMS-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LBMXV01.5B36	small car	7	28	36	31	7	Yes
MINI Cooper Hardtop	1.5	3	AMS-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LBMXV01.5B36	small car	7	28	36	31	7	Yes
MINI Cooper S Hardtop	2	4	AMS-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LBMXV02.0B46	small car	7	26	35	30	7	Yes
